Video Title,Song Name,Song Date,Song Type,Featuring Artists,Number of Likes,Number of Views,Number of Comments
Sanfara - J.F.K (Clip Officiel),Sanfara - J.F.K (Clip Officiel),2019-05-04T13:48:51Z,Solo,[],362669,57011230,8260
Sanfara - Ch3andi Fih | شعندي فيه (Clip Officiel),Sanfara - Ch3andi Fih | شعندي فيه (Clip Officiel),2018-12-16T11:35:22Z,Solo,[],86072,11764810,2159
Sanfara ft. Souki & Saad - No No (Clip Officiel),Sanfara ft. Souki & Saad - No No (Clip Officiel),2018-12-02T14:02:52Z,Featuring,Souki & Saad - No No (Clip Officiel),347649,59491187,10592
Sanfara - Lacoste (Official Audio),Sanfara - Lacoste (Official Audio),2018-11-25T12:00:03Z,Solo,[],32939,2674596,1376
Sanfara - Marijuana (Clip Officiel) | مريخوانا,Sanfara - Marijuana (Clip Officiel) | مريخوانا,2018-10-28T11:11:09Z,Solo,[],93217,13641511,2183
Sanfara - Informer (Clip Officiel),Sanfara - Informer (Clip Officiel),2018-10-02T14:45:56Z,Solo,[],138640,21876945,3515
Sanfara - Sikou Sikou (Clip Officiel),Sanfara - Sikou Sikou (Clip Officiel),2018-09-16T12:38:09Z,Solo,[],256518,43167133,8036
Sanfara - BrudeR (Clip Officiel),Sanfara - BrudeR (Clip Officiel),2018-09-01T15:32:33Z,Solo,[],82536,12080795,2905
Sanfara - Lazouni (Clip Officiel) | لزّوني,Sanfara - Lazouni (Clip Officiel) | لزّوني,2018-05-06T18:58:00Z,Solo,[],60631,8861650,2141
Sanfara ft. Didine Canon 16 - Doctor (Clip Officiel),Sanfara ft. Didine Canon 16 - Doctor (Clip Officiel),2020-12-31T11:01:45Z,Featuring,Didine Canon 16 - Doctor (Clip Officiel),262373,11910588,9578
Sanfara - 3ami | عمّي (Clip Officiel),Sanfara - 3ami | عمّي (Clip Officiel),2020-11-05T12:17:41Z,Solo,[],123420,6984603,4782
Hamouda X Sanfara - Nour Einya (Official Music Video) | نور عينيا,Hamouda X Sanfara - Nour Einya (Official Music Video) | نور عينيا,2020-10-24T12:00:03Z,Solo,[],524460,49844311,15363
Sanfara - Matwasini (Clip Officiel) | متوصيني,Sanfara - Matwasini (Clip Officiel) | متوصيني,2020-10-13T18:25:05Z,Solo,[],137550,8413139,4323
Sanfara - Rak Bi Denya (Clip Officiel) | راك بالدنيا,Sanfara - Rak Bi Denya (Clip Officiel) | راك بالدنيا,2020-07-03T10:41:50Z,Solo,[],152156,9061970,4323
Sanfara - Wras La7nina (Clip Officiel) | وراس لحنينۃ,Sanfara - Wras La7nina (Clip Officiel) | وراس لحنينۃ,2020-03-12T11:58:31Z,Solo,[],290580,33083639,6875
Lorco ft. Sanfara - Denya (Clip Officiel),Lorco ft. Sanfara - Denya (Clip Officiel),2019-12-08T19:19:04Z,Featuring,Sanfara - Denya (Clip Officiel),26331,1259619,513
Sanfara - El 3ajla Edour (Clip Officiel) | العجلة إدّور,Sanfara - El 3ajla Edour (Clip Officiel) | العجلة إدّور,2019-10-08T20:12:39Z,Solo,[],413121,65008067,10908
Sanfara - Ya Benti (Clip Officiel) | يا بنتي,Sanfara - Ya Benti (Clip Officiel) | يا بنتي,2019-09-20T13:10:48Z,Solo,[],219145,19245671,5580
Sanfara ft. Nordo - Nbet Nhareb (Clip Officiel) | نبات نحارب,Sanfara ft. Nordo - Nbet Nhareb (Clip Officiel) | نبات نحارب,2019-05-29T12:32:24Z,Featuring,Nordo - Nbet Nhareb (Clip Officiel) | نبات نحارب,536110,87798292,12186
Sanfara - J.F.K (Clip Officiel),Sanfara - J.F.K (Clip Officiel),2019-05-04T13:48:51Z,Solo,[],362669,57011230,8260
Souki ft. Sanfara - Ma Cité (Teaser),Souki ft. Sanfara - Ma Cité (Teaser),2019-02-14T21:37:49Z,Featuring,Sanfara - Ma Cité (Teaser),11038,974280,431
Sanfara - Sikou Sikou (Clip Officiel),Sanfara - Sikou Sikou (Clip Officiel),2018-09-16T12:38:09Z,Solo,[],256518,43167133,8036
Sanfara - BrudeR (Clip Officiel),Sanfara - BrudeR (Clip Officiel),2018-09-01T15:32:33Z,Solo,[],82536,12080795,2905
Sanfara - Ferryville (Clip Officiel),Sanfara - Ferryville (Clip Officiel),2017-11-06T17:01:13Z,Solo,[],84218,17511563,2070
Sanfara - BO2SS,Sanfara - BO2SS,2017-10-07T23:16:18Z,Solo,[],33213,3652247,854
Sanfara - Jorra,Sanfara - Jorra,2017-07-16T23:19:44Z,Solo,[],44434,7236940,1644
Sanfara - Rabi I7mini ft. Issam,Sanfara - Rabi I7mini ft. Issam,2017-06-16T23:15:42Z,Featuring,Issam,26968,2631029,827
Sanfara - 3ala Mout 3ala 7yé (Clip Officiel) | على موت على حيا,Sanfara - 3ala Mout 3ala 7yé (Clip Officiel) | على موت على حيا,2017-04-19T21:55:16Z,Solo,[],78781,15558364,2629
Sanfara feat Soltan - Nahki Alik,Sanfara feat Soltan - Nahki Alik,2017-02-22T19:21:31Z,Solo,[],20077,2941773,826
Sanfara - Ma7ssoub | محسوب,Sanfara - Ma7ssoub | محسوب,2017-01-19T19:00:00Z,Solo,[],29894,4924317,736
Sanfara - J'allume,Sanfara - J'allume,2016-11-23T16:23:30Z,Solo,[],27278,4861451,788
Sanfara - One Love (Clip Officiel),Sanfara - One Love (Clip Officiel),2017-03-28T17:52:05Z,Solo,[],76874,15757475,1917
Sanfara Ft @Abdeelgha4 - Ma Vie [Official Music Video],Sanfara Ft @Abdeelgha4 - Ma Vie [Official Music Video],2024-06-22T12:58:25Z,Solo,[],29617,1170707,1195
Sanfara - Psy (Official Music Video),Sanfara - Psy (Official Music Video),2024-06-13T11:59:00Z,Solo,[],18782,1015725,878
